drug_id,category_id
DB00067,C00177
DB00067,C00229
DB00067,C00012
DB00067,C00386
DB00067,C00387
DB00067,C00232
DB00067,C00233
DB00068,C00094
DB00068,C00001
DB00068,C00021
DB00068,C00047
DB00068,C00101
DB00068,C00102
DB00068,C00103
DB00068,C00104
DB00068,C00066
DB00068,C00067
DB00068,C00050
DB00068,C00110
DB00068,C00364
DB00068,C00111
DB00068,C00113
DB00068,C00010
DB00068,C00012
DB00068,C00365
DB00069,C00094
DB00069,C00096
DB00069,C00001
DB00069,C00097
DB00069,C00021
DB00069,C00098
DB00069,C00047
DB00069,C00101
DB00069,C00102
DB00069,C00103
DB00069,C00104
DB00069,C00067
DB00069,C00050
DB00069,C00109
DB00069,C00110
DB00069,C00111
DB00069,C00113
DB00069,C00010
DB00069,C00012
DB00070,C00039
DB00070,C00040
DB00070,C00328
DB00071,C00203
DB00071,C00001
DB00071,C00204
DB00071,C00205
DB00071,C00206
DB00071,C00170
DB00071,C00207
DB00071,C00131
DB00071,C00132
DB00071,C00209
DB00071,C00211
DB00071,C00212
DB00071,C00213
DB00071,C00133
DB00071,C00010
DB00071,C00012
DB00072,C00001
DB00072,C00016
DB00072,C00017
DB00072,C00018
DB00072,C00019
DB00072,C00020
DB00072,C00021
DB00072,C00058
DB00072,C00022
DB00072,C00023
DB00072,C00099
DB00072,C00161
DB00072,C00026
DB00072,C00388
DB00072,C00389
DB00072,C00390
DB00072,C00028
DB00072,C00029
DB00072,C00067
DB00072,C00030
DB00072,C00031
DB00072,C00032
DB00072,C00012
DB00072,C00033
DB00073,C00001
DB00073,C00016
DB00073,C00017
DB00073,C00391
DB00073,C00019
DB00073,C00020
DB00073,C00057
DB00073,C00059
DB00073,C00022
DB00073,C00023
DB00073,C00392
DB00073,C00393
DB00073,C00394
DB00073,C00026
DB00073,C00028
DB00073,C00066
DB00073,C00029
DB00073,C00067
DB00073,C00030
DB00073,C00031
DB00073,C00113
DB00073,C00032
DB00073,C00012
DB00073,C00033
DB00074,C00001
DB00074,C00016
DB00074,C00017
DB00074,C00018
DB00074,C00021
DB00074,C00022
DB00074,C00026
DB00074,C00028
DB00074,C00066
DB00074,C00029
DB00074,C00067
DB00074,C00395
DB00074,C00188
DB00074,C00396
DB00074,C00397
DB00074,C00012
