drug_id,salt_id
DB01482,SAL1105
DB01497,SAL1106
DB01501,SAL1107
DB01520,SAL1108
DB01528,SAL1109
DB01535,SAL1110
DB01546,SAL1111
DB01548,SAL1112
DB01551,SAL1113
DB01551,SAL1114
DB01551,SAL1115
DB01551,SAL1116
DB01551,SAL1117
DB01556,SAL1118
DB01576,SAL1119
DB01576,SAL1120
DB01576,SAL1121
DB01577,SAL1122
DB01577,SAL1123
DB01579,SAL1124
DB01580,SAL1125
DB01581,SAL1126
DB01582,SAL1127
DB01591,SAL1128
DB01591,SAL1129
DB01597,SAL1130
DB01598,SAL1131
DB01602,SAL1132
DB01603,SAL1133
DB01603,SAL1134
DB01605,SAL1135
DB01606,SAL1136
DB01607,SAL1137
DB01610,SAL1138
DB01611,SAL1139
DB01614,SAL1140
DB01616,SAL1141
DB01618,SAL1142
DB01619,SAL1143
DB01620,SAL1144
DB01621,SAL1145
DB01623,SAL1146
DB01624,SAL1147
DB01624,SAL1148
DB01624,SAL1149
DB01625,SAL1150
DB01625,SAL1151
DB01626,SAL1152
DB01627,SAL1153
DB01627,SAL1154
DB01628,SAL1155
DB01698,SAL1156
DB01718,SAL1157
DB01718,SAL1158
DB01718,SAL1159
DB01718,SAL1160
DB01764,SAL1161
DB01783,SAL1162
DB01783,SAL1163
DB01839,SAL1164
DB01901,SAL1165
DB01914,SAL1166
DB01942,SAL1167
DB01987,SAL1168
DB01987,SAL1169
DB02034,SAL1170
DB02234,SAL1171
DB02234,SAL1172
DB02240,SAL1173
DB02300,SAL1174
DB02329,SAL1175
DB02362,SAL1176
DB02362,SAL1177
DB02530,SAL1178
DB02557,SAL1179
DB02579,SAL1180
DB02579,SAL1181
DB02638,SAL1182
DB02656,SAL1183
DB02701,SAL1184
DB02703,SAL1185
DB02703,SAL1186
DB02751,SAL1187
DB02751,SAL1188
DB02779,SAL1189
DB02843,SAL1190
DB02948,SAL1191
DB03052,SAL1192
DB03088,SAL1193
DB03088,SAL1194
DB03088,SAL1195
DB03128,SAL1196
DB03147,SAL1197
DB03201,SAL1198
DB03206,SAL1199
DB03209,SAL1200
DB03229,SAL1201
DB03247,SAL1202
DB03247,SAL1203
DB03247,SAL1204
DB03403,SAL1205
DB03424,SAL1206
DB03496,SAL1207
DB03523,SAL1208
DB03568,SAL1209
DB03568,SAL1210
DB03575,SAL1211
DB03585,SAL1212
DB03604,SAL1213
DB03615,SAL1214
DB03619,SAL1215
DB03695,SAL1216
DB03701,SAL1217
DB03756,SAL1218
DB03766,SAL1219
DB03785,SAL1220
DB03793,SAL1221
DB03793,SAL1222
DB03796,SAL1223
DB03808,SAL1224
DB03884,SAL1225
DB03945,SAL1226
DB03994,SAL1227
