drug_id,synonym_id
DB00070,SYN00513
DB00070,SYN00514
DB00070,SYN00515
DB00071,SYN00516
DB00071,SYN00517
DB00071,SYN00518
DB00071,SYN00519
DB00071,SYN00520
DB00071,SYN00521
DB00071,SYN00522
DB00071,SYN00523
DB00072,SYN00524
DB00072,SYN00525
DB00072,SYN00526
DB00072,SYN00527
DB00072,SYN00528
DB00072,SYN00529
DB00072,SYN00530
DB00072,SYN00531
DB00072,SYN00532
DB00072,SYN00533
DB00072,SYN00534
DB00072,SYN00535
DB00073,SYN00536
DB00073,SYN00537
DB00073,SYN00538
DB00073,SYN00539
DB00073,SYN00540
DB00073,SYN00541
DB00073,SYN00542
DB00073,SYN00543
DB00074,SYN00544
DB00075,SYN00545
DB00075,SYN00546
DB00075,SYN00547
DB00076,SYN00548
DB00076,SYN00549
DB00076,SYN00550
DB00076,SYN00551
DB00076,SYN00552
DB00078,SYN00553
DB00078,SYN00554
DB00078,SYN00555
DB00080,SYN00556
DB00080,SYN00557
DB00080,SYN00558
DB00080,SYN00559
DB00081,SYN00560
DB00082,SYN00561
DB00083,SYN00562
DB00083,SYN00563
DB00083,SYN00564
DB00083,SYN00565
DB00083,SYN00566
DB00083,SYN00567
DB00083,SYN00568
DB00083,SYN00569
DB00083,SYN00570
DB00083,SYN00571
DB00083,SYN00572
DB00083,SYN00573
DB00083,SYN00574
DB00083,SYN00575
DB00083,SYN00576
DB00083,SYN00577
DB00083,SYN00578
DB00083,SYN00579
DB00083,SYN00580
DB00083,SYN00581
DB00083,SYN00582
DB00085,SYN00583
DB00085,SYN00584
DB00085,SYN00585
DB00085,SYN00586
DB00085,SYN00587
DB00085,SYN00588
DB00085,SYN00589
DB00085,SYN00590
DB00086,SYN00591
DB00086,SYN00592
DB00086,SYN00593
DB00086,SYN00594
DB00086,SYN00595
DB00087,SYN00596
DB00088,SYN00597
DB00089,SYN00598
DB00089,SYN00599
DB00089,SYN00600
DB00089,SYN00601
DB00089,SYN00602
DB00090,SYN00603
DB00090,SYN00604
DB00090,SYN00605
DB00090,SYN00606
DB00090,SYN00607
DB00091,SYN00608
DB00091,SYN00609
DB00091,SYN00610
DB00091,SYN00611
DB00091,SYN00612
DB00091,SYN00613
DB00091,SYN00614
DB00091,SYN00615
DB00091,SYN00616
DB00091,SYN00617
DB00092,SYN00618
DB00093,SYN00619
DB00093,SYN00620
DB00093,SYN00621
DB00093,SYN00622
DB00093,SYN00623
DB00093,SYN00624
DB00094,SYN00625
DB00094,SYN00626
DB00094,SYN00627
DB00095,SYN00628
DB00095,SYN00629
DB00095,SYN00630
DB00097,SYN00631
DB00097,SYN00632
DB00097,SYN00633
DB00098,SYN00634
DB00098,SYN00635
DB00098,SYN00636
DB00098,SYN00637
DB00098,SYN00638
DB00098,SYN00639
DB00098,SYN00640
DB00098,SYN00641
DB00098,SYN00642
DB00098,SYN00643
DB00098,SYN00644
DB00098,SYN00645
DB00098,SYN00646
DB00098,SYN00647
DB00098,SYN00648
DB00098,SYN00649
DB00098,SYN00650
DB00098,SYN00651
DB00098,SYN00652
DB00099,SYN00653
DB00099,SYN00654
DB00099,SYN00655
DB00099,SYN00656
DB00099,SYN00657
DB00099,SYN00658
DB00099,SYN00659
DB00099,SYN00660
DB00099,SYN00661
DB00099,SYN00662
DB00099,SYN00663
DB00099,SYN00664
DB00099,SYN00665
DB00099,SYN00666
DB00100,SYN00667
DB00100,SYN00668
DB00100,SYN00669
DB00100,SYN00670
DB00100,SYN00671
DB00100,SYN00672
DB00100,SYN00673
DB00102,SYN00674
DB00102,SYN00675
DB00102,SYN00676
DB00102,SYN00677
DB00102,SYN00678
DB00102,SYN00679
DB00102,SYN00680
DB00102,SYN00681
DB00102,SYN00682
DB00102,SYN00683
DB00103,SYN00684
DB00103,SYN00685
DB00103,SYN00686
DB00104,SYN00687
DB00104,SYN00688
DB00104,SYN00689
DB00104,SYN00690
DB00104,SYN00691
DB00105,SYN00692
DB00105,SYN00693
DB00105,SYN00694
DB00105,SYN00695
DB00105,SYN00696
DB00105,SYN00697
DB00105,SYN00698
DB00105,SYN00699
DB00105,SYN00700
DB00105,SYN00701
DB00105,SYN00702
DB00105,SYN00703
DB00105,SYN00704
DB00105,SYN00705
DB00105,SYN00706
DB00106,SYN00707
DB00107,SYN00708
DB00107,SYN00709
DB00108,SYN00710
DB00108,SYN00711
DB00108,SYN00712
DB00108,SYN00713
DB00108,SYN00714
DB00108,SYN00715
DB00109,SYN00716
DB00109,SYN00717
DB00110,SYN00718
DB00111,SYN00719
DB00111,SYN00720
DB00111,SYN00721
DB00112,SYN00722
DB00112,SYN00723
DB00112,SYN00724
DB00112,SYN00725
DB00112,SYN00726
DB00112,SYN00727
DB00112,SYN00728
DB00112,SYN00729
DB00112,SYN00730
DB00112,SYN00731
DB00112,SYN00732
DB00112,SYN00733
DB00112,SYN00734
DB00112,SYN00735
DB00112,SYN00736
DB00113,SYN00737
DB00113,SYN00738
DB00113,SYN00739
DB00113,SYN00740
DB00113,SYN00741
DB00114,SYN00742
DB00114,SYN00743
DB00114,SYN00744
DB00114,SYN00745
DB00114,SYN00746
DB00114,SYN00747
DB00114,SYN00748
DB00114,SYN00749
DB00114,SYN00750
DB00114,SYN00751
DB00114,SYN00752
DB00114,SYN00753
DB00115,SYN00754
DB00115,SYN00755
DB00115,SYN00756
DB00115,SYN00757
DB00115,SYN00758
DB00115,SYN00759
DB00116,SYN00760
DB00116,SYN00761
DB00116,SYN00762
DB00116,SYN00763
DB00117,SYN00764
DB00117,SYN00765
DB00117,SYN00766
DB00117,SYN00767
DB00117,SYN00768
DB00117,SYN00769
DB00117,SYN00770
DB00117,SYN00771
DB00117,SYN00772
DB00117,SYN00773
DB00117,SYN00774
DB00118,SYN00775
DB00118,SYN00776
DB00118,SYN00777
DB00118,SYN00778
DB00118,SYN00779
DB00118,SYN00780
DB00118,SYN00781
DB00119,SYN00782
DB00119,SYN00783
DB00119,SYN00784
DB00119,SYN00785
DB00119,SYN00786
DB00119,SYN00787
DB00119,SYN00788
DB00119,SYN00789
DB00119,SYN00790
DB00119,SYN00791
DB00119,SYN00792
DB00119,SYN00793
DB00119,SYN00794
DB00119,SYN00795
DB00119,SYN00796
DB00120,SYN00797
DB00120,SYN00798
DB00120,SYN00799
DB00120,SYN00800
DB00120,SYN00801
DB00120,SYN00802
DB00120,SYN00803
DB00120,SYN00804
DB00120,SYN00805
DB00120,SYN00806
DB00120,SYN00807
DB00121,SYN00808
DB00121,SYN00809
DB00121,SYN00810
DB00121,SYN00811
DB00121,SYN00812
DB00121,SYN00813
DB00121,SYN00814
DB00121,SYN00815
DB00121,SYN00816
DB00121,SYN00817
DB00121,SYN00818
DB00121,SYN00819
DB00121,SYN00820
DB00121,SYN00821
DB00121,SYN00822
DB00122,SYN00823
DB00122,SYN00824
DB00122,SYN00825
DB00122,SYN00826
DB00122,SYN00827
DB00122,SYN00828
DB00122,SYN00829
DB00123,SYN00830
DB00123,SYN00831
DB00123,SYN00832
DB00123,SYN00833
DB00123,SYN00834
DB00123,SYN00835
DB00123,SYN00836
DB00123,SYN00837
DB00123,SYN00838
DB00123,SYN00839
DB00123,SYN00840
DB00123,SYN00841
DB00123,SYN00842
DB00125,SYN00843
DB00125,SYN00844
DB00125,SYN00845
DB00125,SYN00846
DB00125,SYN00847
DB00125,SYN00848
DB00125,SYN00849
DB00125,SYN00850
DB00125,SYN00851
DB00125,SYN00852
DB00126,SYN00853
DB00126,SYN00854
DB00126,SYN00855
DB00126,SYN00856
DB00126,SYN00857
DB00126,SYN00858
DB00126,SYN00859
DB00126,SYN00860
DB00126,SYN00861
DB00126,SYN00862
DB00126,SYN00863
DB00126,SYN00864
DB00126,SYN00865
DB00127,SYN00866
DB00127,SYN00867
